Date, Close/Last, Volume, Open, High, Low
07/22/2019, 1426.9, 247608, 1428.5, 1430.8, 1423
07/19/2019, 1426.7, 509138, 1448.3, 1454.4, 1421.1
07/18/2019, 1428.1, 467773, 1428.5, 1449.7, 1415.6
07/17/2019, 1421.3, 6, 1404.6, 1404.6, 1404.6
07/16/2019, 1411.2, 327180, 1416.4, 1420, 1402.1
07/15/2019, 1413.5, 231266, 1417.7, 1421.6, 1409.3
07/12/2019, 1412.2, 272092, 1406.2, 1418.9, 1404.5
07/11/2019, 1406.7, 380765, 1421.1, 1429.4, 1402.7
07/10/2019, 1412.5, 426438, 1400, 1421.1, 1391.8
07/09/2019, 1400.5, 276008, 1397.9, 1402.4, 1387.5
07/08/2019, 1400, 303906, 1401, 1409.9, 1393.8
07/05/2019, 1400.1, 555564, 1418.8, 1426.8, 1388.6
07/03/2019, 1420.9, 118832, 1421.6, 1424.4, 1412.7
